2016-12-29, 0.000000
2016-12-30, 0.000000
2017-01-02, 0.000000
2017-01-03, 0.000000
2017-01-04, 0.000000
2017-01-05, 0.000000
2017-01-06, 0.000000
2017-01-09, 0.000000
2017-01-10, 0.000000
2017-01-11, 0.000000
2017-01-12, 0.000000
2017-01-13, 0.000000
2017-01-16, 0.000000
2017-01-17, 0.000000
2017-01-18, 0.000000
2017-01-19, 0.000000
2017-01-20, 0.000000
2017-01-23, 0.000000
2017-01-24, 0.000000
2017-01-25, 0.000000
2017-01-26, 0.000000
2017-01-27, 0.000000
2017-01-30, 0.000000
2017-01-31, 0.000000
2017-02-01, 0.000000
2017-02-02, 0.000000
2017-02-03, 0.000000
2017-02-06, 0.000000
2017-02-07, 0.000000
2017-02-08, 0.000000
2017-02-09, 0.000000
2017-02-10, 0.000000
2017-02-13, 0.000000
2017-02-14, 0.000000
2017-02-15, 0.000000
2017-02-16, 0.000000
2017-02-17, 0.000000
2017-02-20, 0.000000
2017-02-21, 0.000000
2017-02-22, 0.000000
2017-02-23, 0.000000
2017-02-24, 0.000000
2017-02-27, 0.000000
2017-02-28, 0.000000
2017-03-01, 0.000000
2017-03-02, 0.000000
2017-03-03, 0.000000
2017-03-06, 0.000000
2017-03-07, 0.000000
2017-03-08, 0.000000
2017-03-09, 0.000000
2017-03-10, 0.000000
2017-03-13, 0.000000
2017-03-14, 0.000000
2017-03-15, 0.000000
2017-03-16, 0.000000
2017-03-17, 0.000000
2017-03-20, 0.000000
2017-03-21, 0.000000
2017-03-22, 0.000000
2017-03-23, 0.000000
2017-03-24, 0.000000
2017-03-27, 0.000000
2017-03-28, 0.000000
2017-03-29, 0.000000
2017-03-30, 0.000000
2017-03-31, 0.000000
2017-04-03, 0.000000
2017-04-04, 0.000000
2017-04-05, 0.000000
2017-04-06, 0.000000
2017-04-07, 0.000000
2017-04-10, 0.000000
2017-04-11, 0.000000
2017-04-12, 0.000000
2017-04-13, 0.000000
2017-04-14, 0.000000
2017-04-17, 0.000000
2017-04-18, 0.000000
2017-04-19, 0.000000
2017-04-20, 0.000000
2017-04-21, 0.000000
2017-04-24, 0.000000
2017-04-25, 0.000000
2017-04-26, 0.000000
2017-04-27, 0.000000
2017-04-28, 0.000000
2017-05-02, 0.000000
2017-05-03, 0.000000
2017-05-04, 0.000000
2017-05-05, 0.000000
2017-05-08, 0.000000
2017-05-09, 0.000000
2017-05-10, 0.000000
2017-05-11, 0.000000
2017-05-12, 0.000000
2017-05-15, 0.000000
2017-05-16, 0.000000
2017-05-17, 0.000000
2017-05-18, 0.000000
2017-05-22, 0.000000
2017-05-23, 0.000000
2017-05-24, 0.000000
2017-05-25, 0.000000
2017-05-26, 0.000000
2017-05-29, 0.010012
2017-05-30, 0.010012
2017-05-31, 0.010028
2017-06-01, 0.010038
2017-06-02, 0.010039
2017-06-05, 0.010044
2017-06-06, 0.010048
2017-06-07, 0.010036
2017-06-08, 0.010038
2017-06-09, 0.010039
2017-06-12, 0.010041
2017-06-13, 0.010044
2017-06-14, 0.010048
2017-06-15, 0.010054
